country,vat_type,category_id,rate_type,rate_value,comment
BE,REDUCED,AGRICULTURAL_PRODUCTION,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category VII, 7°
Plants and parts of plants, seeds and fruits, of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes"
BE,REDUCED,PHARMACEUTICAL_PRODUCTS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XVII
The reduced rate only applies to:
- blood and platelets, plasma and white and red blood cells intended for administration to humans or animals for therapeutic or prophylactic use: 3002 1200, 3002 1900, 3002 9030, 3002 9090
- blood plasma intended for transfusions: 3002 1200, 3002 1900
- other than for establishing an in vitro diagnosis: 3002 9030"
BE,REDUCED,PHARMACEUTICAL_PRODUCTS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XVII
The reduced rates only applies to: -medicinal products registered as medicines/medicinal product  according to the Belgian law: 3002 1200, 3002 1900, 3002 1300, 3002 1400, 3002 1500, 3002 2000, 3002 3000, 3006 3000, 3006 7000, 3824 9958, 3002 9030, 3002 9050, 3002 9090, 3004, 3006 6000"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXIII, N° 11 - external defibrillators (ED)

The reduce rates only apply for: 
- batteries intended for ED: 8506 5090 90, 8507 6000 90
- specific software and specific data storage card + Remotes for ED: 
8523 5110, 8523 5190, 8543 7090
- ED: 9018 9084
- first aid or intervention kits linked to the use of the external defibrillator 9019 2000
- cabinets specially designed for the storage of ED: 9402 9000"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, cat. XXIII, N° 2 - dentures, artificial teeth, eyes,  limbs and the like, hearing aids and other aids for remedying or alleviating defects or ailments, which are held by the patient or are otherwise worn or implanted (1)
The reduced rate only applies for:
- batteries whose packaging clearly indicates that they are offered for sale for a specific use in hearing aids in 8506 10, 8506 30, 8506 40, 8506 5010, 8506 5090 10, 8506 5090 30, 8506 5090 90, 8506 60, 8506 80"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, cat. XXIII, n° 7 to 8 
The reduced rate only applies to:
- (PICC) peripheral insertion central catheters, introd. surgically + for a prolonged period into the human body for the purpose of adm. intravenous medications (chemo, parenteral nutrition, etc.) and samples frequent blood: 9018 3900
- infusion pumps: 9018 9050
- glucometers, whether/not accompanied by their accessories: 9027 8017"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N°20, Table A, category  XXIII, n° 6  - Aids specially designed for the visually impaired and blind, except frames, spectacle glasses and contact lenses
The reduced rate only applies for 6602 0000, 8523 2919, 8523 2990, 8523 4920, 8523 4990, 8523 5190, 8523 5990, 8523 8090, 8543 7009 99, 9005 1000, 9005 8000, 9013 8090 90, 9014 1000 90, 9015 10, 9017, 9101, 9102, 9103, 9105 if means of assistance specially designed for the visually impaired and the blind"
BE,REDUCED,PHARMACEUTICAL_PRODUCTS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XVII
The reduced rate only applies to:
- products offered for sale for oral consumption by humans, excluding beverages: 3002 9050, 3004, 3006 6000
- bone cements containing antibiotics having an action accessory to that of the device: 3006 4000
- sterile viscoelastic substances strictly intended for human or veterinary medical or surgical use: 3304 99"
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, cat. X (…)
The reduced rate only applies for:
- products intended for sale for oral human consumption other than beverages in 2936, 3006 6000
- for the manufacture of foodstuffs in 3002 9050
- for oral human consumption in 3306
- proteins/gelatin for food in 3502 1990 and 3503 0010
- some semi-finished products for the preparation of products for human consumption 3507 9090
- artif. sweeteners for human consumption in 3824 6091"
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, cat. XXIII, n° 3 to 5 
The reduced rate only applies to:
- walking frames: 8716 8000
- apparatus to be worn on the person and allowing continuous or intermittent injection of medicaments by means of a hypodermic needle supplied by an electronically controlled pump: 9018 3110
- outpatient rehabilitators:  9019 1090
- aerosol devices and their accessories: 9019 2000  
- anti-decubitus material: 9404 90 90"
BE,REDUCED,PHARMACEUTICAL_PRODUCTS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XXIII, n° 10

The reduced rate only applies to sanitary towels, tampons, panty liners and similar products intended for the hygienic protection of women and intimate tissues intended for the hygienic protection of the genital area of ​​persons other than babies in 9619"
BE,REDUCED,ANTIQUES,REDUCED_RATE,6.0,"RD N° 20, Table A, category XXI; For CN codes 9701 90 00, 9706 00 00 and 4911 91 00: excl. utensils and for CN code (9706 00 00): excl. articles composed of dried or preserved plants, animals or parts thereof, presented in such a way (e.g. in blocks of plastic, behind glass or between two sheets of glass stuck together) that because of their decorative appearance they are intended to decorate houses -stuffed animals and parts of stuffed animals made in large quantities from the same species"
BE,REDUCED,AGRICULTURAL_PRODUCTION,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category XXIV - agricultural services, excluding services related to animals not listed in Royal Decree N° 20, Table A, category I (75.00.11) and construction and maintenance of gardens (81.30.11)

The reduced rate only applies for services in 01.61, 01.62, 01.64, 75.00.12 in that context

The goods supplied with the agricultural services are subject to the VAT rate applicable to the goods as if delivered separately, e.g."
BE,REDUCED,MEDICAL_EQUIPMENT,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category  XXVI - Maintenance and repair work of the goods referred to in category XXII and XXIII, 2° to 8° and 11°

The reduced rate also applies to the supplies, parts and accessories used in the execution of those works."
BE,REDUCED,SUSTAINABLE_ENERGY,REDUCED_RATE,6.0,"Royal Decree N0 20, Table A, category XIV.
The supply of electricity, heat through heating networks and natural gas used as heating fuel under residential contracts."
